,n_gram_size,assembled_sentence,sentence
1644,3,ui_teamName,ui team Name
1645,3,ulScreenY,ul Screen Y
1646,1,undirected,undirected
1647,2,unregisterBean,unregister Bean
1648,3,unsetFileName,unset File Name
1649,2,updatable_view,updatable view
1650,4,updateAllDiffBackgrounds,update All Diff Backgrounds
1651,2,usage_getdata,usage getdata
1652,2,use_aic,use aic
1653,1,usemap,usemap
1654,3,userClickText,user Click Text
1655,3,usr.isBot,usr is Bot
1656,2,usrResults,usr Results
1657,4,ut_stats_tag_t,ut stats tag t
1658,2,uval.dv,uval dv
1659,8,v4l2_parm.parm.capture.capturemode,v 4 l 2 parm parm capture capturemode
1660,2,va.persistent,va persistent
1661,2,validItem,valid Item
1662,4,validSValuesAndGenes,valid SValues And Genes
1663,3,value_top_sizeof,value top sizeof
1664,2,var_defend,var defend
1665,6,variables.max_length_for_sort_data,variables max length for sort data
1666,1,varid,varid
1667,3,vars_need_expansion,vars need expansion
1668,1,vdrad,vdrad
1669,2,vec_transpose,vec transpose
1670,1,versionend,versionend
1671,1,viewx,viewx
1672,2,vlp_job,vlp job
1673,1,vmprintfes,vmprintfes
1674,2,vmx.ssp,vmx ssp
1675,3,vpage_buffer_length,vpage buffer length
1676,2,vpix.x,vpix x
1677,1,vqgen,vqgen
1678,1,vstr,vstr
1679,5,vui.i_num_reorder_frames,vui i num reorder frames
1680,1,wcspbrk,wcspbrk
1681,1,wds,wds
1682,3,wf.cbSize,wf cb Size
1683,3,wfDetailString,wf Detail String
1684,3,widgets.fpfToggle,widgets fpf Toggle
1685,3,wins_srv_count,wins srv count
1686,3,wndUnderMouse,wnd Under Mouse
1687,4,worker.billing_last_name,worker billing last name
1688,1,wqueue,wqueue
1689,4,wrappedStmt.executeUpdate,wrapped Stmt execute Update
1690,2,writeCompartment,write Compartment
1691,3,writeCustomHTML,write Custom HTML
1692,1,wtype,wtype
1693,4,x264_cabac_t,x 264 cabac t
1694,4,xGetJobStaus,x Get Job Staus
1695,2,xcolor.flags,xcolor flags
1696,3,xgetColumnWidth,xget Column Width
1697,3,xpc_proto_proto,xpc proto proto
1698,2,xtVersion,xt Version
1699,1,xtest,xtest
1700,3,yyz_flex_debug,yyz flex debug
1701,2,~AggregateTransaction,Aggregate Transaction
1702,2,~CodeFragment,Code Fragment
1703,2,~RobotSink,Robot Sink
1704,4,~txSyncCompileObserver,tx Sync Compile Observer
